,confidence_power,imputed pseudocluster,conf_bool,conf_scores
5_20_3041519,0.887,0.43702874538614334,True,0.06824563053934307
5_20_3041526,0.49,0.3959309096416882,False,-0.0015943173192658477
5_20_3041529,0.826,0.26008216013347446,True,0.05301871958076154
5_20_3041532,0.503,0.38360094945029233,True,0.00035949087974507243
5_20_3041537,0.94,0.4108988237947704,True,0.08852124980459597
5_20_3041544,0.828,0.36505911861526336,True,0.053766353518001075
5_20_3041548,0.805,0.29623346857267757,True,0.04694563958419751
5_20_3041561,0.894,0.30761188037937426,True,0.07134454393985912
5_20_3041566,0.117,0.26816135170468214,False,-0.06502386354250222
5_20_3041576,0.067,0.2377127801529321,False,-0.08293808735089647
5_20_3041584,0.893,0.12851368030804702,True,0.07078275666378253
5_20_3041591,0.826,0.29055601784436136,True,0.052792407275333186
5_20_3041593,0.804,0.3789128972309871,True,0.046799497426853076
5_20_3041594,0.18,0.1535973099945605,False,-0.05039896528186638
5_20_3041604,0.745,0.33273837675969375,True,0.035741489623821066
5_20_3041606,0.833,0.3660886204373635,True,0.05446575159047129
5_20_3041610,0.94,0.2910803885989485,True,0.08634790826540384
5_20_3041619,0.934,0.37413082494841315,True,0.08268627235371773
5_20_3041629,0.782,0.3271646687864139,True,0.04180849543224974
5_20_3041631,0.645,0.2984040145309884,True,0.019881242943988187
5_20_3041638,0.515,0.42705794408147696,True,0.001994530414566653
5_20_3041656,0.763,0.19922642371046906,True,0.0386035830823267
5_20_3041719,0.047,0.7487990258733495,False,-0.09872439215082518
5_20_3041801,0.827,0.5340591428246677,True,0.05342336233058498
5_20_3042002,0.465,0.3848870150074666,False,-0.004328546115927923
5_20_3110986,0.889,0.18439297034009625,True,0.06936212050395896
5_20_3111238,0.956,0.2557224068561809,True,0.09859978078066711
5_20_3111347,0.369,0.23875145824166177,False,-0.019008914713253944
5_20_3111434,0.952,0.3012376273731996,True,0.0967654704909916
5_20_3120189,0.373,0.2513225511266547,False,-0.018606058637207656
5_20_3120274,0.838,0.3234781823188,True,0.056301665960824865
5_20_3120730,0.05,0.21157299654125009,False,-0.09517274502124984
